timestamp,dataset,k,class,approach,accuracy_pct,precision_pct,f1_pct,w_err,total_s
2026-08-01T11:18:23Z,iris,40,0,Baseline (plaintext solve + encrypted agg),100.0,100.0,100.0,2.8994e-12,
2026-08-01T11:18:23Z,iris,40,0,Federated plaintext reference,100.0,100.0,100.0,2.8994e-12,
2026-08-01T11:18:23Z,iris,40,0,Full-data plaintext reference,100.0,100.0,100.0,2.8994e-12,
2026-08-01T11:18:23Z,iris,40,1,Baseline (plaintext solve + encrypted agg),86.67,71.43,83.33,2.2757e-12,
2026-08-01T11:18:23Z,iris,40,1,Federated plaintext reference,86.67,71.43,83.33,2.2757e-12,
2026-08-01T11:18:23Z,iris,40,1,Full-data plaintext reference,93.33,83.33,90.91,2.2757e-12,
2026-08-01T11:18:23Z,iris,40,2,Baseline (plaintext solve + encrypted agg),76.67,58.82,74.07,3.7672e-12,
2026-08-01T11:18:23Z,iris,40,2,Federated plaintext reference,76.67,58.82,74.07,3.7672e-12,
2026-08-01T11:18:23Z,iris,40,2,Full-data plaintext reference,96.67,90.91,95.24,3.7672e-12,
