timestamp,dataset,k,class,approach,accuracy_pct,precision_pct,f1_pct,w_err,total_s
2026-07-31T22:18:55Z,iris,40,0,"Single-client FHE (N_per_class=2, seed=42)",96.67,100.0,94.74,0.10792,2576.0
2026-07-31T22:18:55Z,iris,40,0,Federated FHE  (40 clients avg.),100.0,100.0,100.0,0.10792,2576.0
2026-07-31T22:18:55Z,iris,40,0,Federated plaintext reference,100.0,100.0,100.0,0.10792,2576.0
2026-07-31T22:18:55Z,iris,40,0,Full-data plaintext reference,100.0,100.0,100.0,0.10792,2576.0
2026-07-31T22:18:55Z,iris,40,1,"Single-client FHE (N_per_class=2, seed=42)",33.33,33.33,50.0,0.012873,2576.0
2026-07-31T22:18:55Z,iris,40,1,Federated FHE  (40 clients avg.),86.67,71.43,83.33,0.012873,2576.0
2026-07-31T22:18:55Z,iris,40,1,Federated plaintext reference,80.0,70.0,70.0,0.012873,2576.0
2026-07-31T22:18:55Z,iris,40,1,Full-data plaintext reference,90.0,100.0,82.35,0.012873,2576.0
2026-07-31T22:18:55Z,iris,40,2,"Single-client FHE (N_per_class=2, seed=42)",80.0,70.0,70.0,0.034592,2576.0
2026-07-31T22:18:55Z,iris,40,2,Federated FHE  (40 clients avg.),76.67,58.82,74.07,0.034592,2576.0
2026-07-31T22:18:55Z,iris,40,2,Federated plaintext reference,73.33,100.0,33.33,0.034592,2576.0
2026-07-31T22:18:55Z,iris,40,2,Full-data plaintext reference,90.0,100.0,82.35,0.034592,2576.0
2026-08-03T01:01:22Z,iris,40,0,"Single-client FHE (N_per_class=2, seed=42)",96.67,100.0,94.74,0.10792,
2026-08-03T01:01:22Z,iris,40,0,Federated FHE  (40 clients avg.),100.0,100.0,100.0,0.10792,
2026-08-03T01:01:22Z,iris,40,0,Federated plaintext reference,100.0,100.0,100.0,0.10792,
2026-08-03T01:01:22Z,iris,40,0,Full-data plaintext reference,100.0,100.0,100.0,0.10792,
2026-08-03T01:01:22Z,iris,40,1,"Single-client FHE (N_per_class=2, seed=42)",33.33,33.33,50.0,0.012873,
2026-08-03T01:01:22Z,iris,40,1,Federated FHE  (40 clients avg.),86.67,71.43,83.33,0.012873,
2026-08-03T01:01:22Z,iris,40,1,Federated plaintext reference,86.67,71.43,83.33,0.012873,
2026-08-03T01:01:22Z,iris,40,1,Full-data plaintext reference,90.0,100.0,82.35,0.012873,
2026-08-03T01:01:22Z,iris,40,2,"Single-client FHE (N_per_class=2, seed=42)",80.0,70.0,70.0,0.034592,
2026-08-03T01:01:22Z,iris,40,2,Federated FHE  (40 clients avg.),76.67,58.82,74.07,0.034592,
2026-08-03T01:01:22Z,iris,40,2,Federated plaintext reference,76.67,58.82,74.07,0.034592,
2026-08-03T01:01:22Z,iris,40,2,Full-data plaintext reference,90.0,100.0,82.35,0.034592,
